ensembl_id,gene_symbol,ncbi_id
ENSMUSG00000062511,4930512M02Rik,NCBI:102631730
ENSMUSG00000126929,A630039O03Rik,NCBI:102631735
Unknown,Gm17174,NCBI:102631744
ENSMUSG00000086010,Gm15318,NCBI:102631757
MGP_CAROLIEiJ_G0003821,Gm15581,NCBI:102631779
LOC6611589,Gm13267,NCBI:102631784
ENSMUSG00000086820,Gm11465,NCBI:102631791
ENSMUSG00000110582,Gm30052,NCBI:102631810
ENSMUSG00000085985,Gm11682,NCBI:102631821
MGP_PahariEiJ_G0004870,Gm29418,NCBI:102631830
LOC6610654,Gm14040,NCBI:102631833
LOC6619604,Gm11999,NCBI:102631840
ENSMUSG00000115726,Gm30083,NCBI:102631856
ENSMUSG00000086758,Gm13912,NCBI:102631868
ENSMUSG00000085405,Astx1c,NCBI:102631897
LOC6610654,Gm14041,NCBI:102631901
ENSMUSG00000113902,Ndufb1,NCBI:102631912
ENSMUSG00000084884,Gm12289,NCBI:102631925
ENSMUSG00000111334,A030010E16Rik,NCBI:102631930
